Número de Série,Tipo Equipamento,Marca,Modelo,Sigla US,Órgão,Grupo,Localização,Data Aquisição,Valor,Próprio,Garantia,Parecer Desativação,Desativado,Baixado,Aprovado,Permitir O.S,Crítico
101124014087,UMIDIFICADOR AQUECEDOR,FISHER PAYKEL,MR-810,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
MR850ABU,UMIDIFICADOR AQUECEDOR,FISHER PAYKEL,MR-850,HC,UNIDADE DE TERAPIA INTENSIVA NEONATAL,DEL - ELETROELETRONICA,UTI NEO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
070C04832,MOD CO2 EXALADO,DIXTAL,ETCO2,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
111122028111,UMIDIFICADOR AQUECEDOR,FISHER PAYKEL,MR-810,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
030C02995,MOD CO2 EXALADO,DIXTAL,ETCO2,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
120I11751,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
120I11753,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
I020091221210,BLENDER,INTERMED,AIR O2-BLENDER,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,27/01/2010,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
100I10359,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
080C06257,MOD CO2 EXALADO,DIXTAL,ETCO2,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
030I02756,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
05725,FONTE LUZ,MICROEM,FC-300,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - ELETROELETRONICA,CLINICA MEDICA,31/12/2006,500,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
030F03563,MOD OXIMETRIA PULSO,DIXTAL,SPO2,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
160I16996,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
160I16994,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
VGSNE3308,MONITOR MULTIPARAMETRICO,DRAGER,VISTA-120,HC,UNIDADE DE ONCOLOGIA,DEL - ELETROELETRONICA,UNIDADE DE ONCOLOGIA,26/02/2021,23400,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
110C08636,MOD CO2 EXALADO,DIXTAL,ETCO2,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
LTM20080086,MONITOR MULTIPARAMETRICO,LIFEMED,LIFETOUCH M-12,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,26/02/2021,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
170I18280,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UNIDADE DE TERAPIA INTENSIVA ADULTO,01/10/2010,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
18B0033,CONSOLE-PAINEL COMANDO,BIEN-AIR,OSSEODUO,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRÚRGICO,09/11/2018,"111436,29",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
JAI96674,BERCO AQUECIDO,FANEM,MULTISYSTEM-2051,HC,UNIDADE DE TERAPIA INTENSIVA NEONATAL,DEL - ELETROELETRONICA,UTI NEO,14/02/2012,11998,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
17K0021,CONSOLE-PAINEL COMANDO,BIEN-AIR,OSSEODUO,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRÚRGICO,09/11/2018,"111436,29",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
080905006748,UMIDIFICADOR AQUECEDOR,FISHER PAYKEL,MR-810,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
