Setor,Data Aquisição,Tipo Equipamento,Valor,Garantia
UTI ADULTO,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI NEO,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,11/11/2011,MOD CO2 EXALADO,0,NÃO
UTI ADULTO,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,11/11/2011,MOD CO2 EXALADO,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UTI ADULTO,27/01/2010,BLENDER,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UTI ADULTO,11/11/2011,MOD CO2 EXALADO,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
CLINICA MEDICA,31/12/2006,FONTE LUZ,500,NÃO
UTI ADULTO,11/11/2011,MOD OXIMETRIA PULSO,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UNIDADE DE ONCOLOGIA,26/02/2021,MONITOR MULTIPARAMETRICO,23400,NÃO
UTI ADULTO,11/11/2011,MOD CO2 EXALADO,0,NÃO
UTI ADULTO,26/02/2021,MONITOR MULTIPARAMETRICO,0,NÃO
UNIDADE DE TERAPIA INTENSIVA ADULTO,01/10/2010,MOD PRESSAO INVASIVA,0,NÃO
CENTRO CIRÚRGICO,09/11/2018,CONSOLE-PAINEL COMANDO,"111436,29",NÃO
UTI NEO,14/02/2012,BERCO AQUECIDO,11998,NÃO
CENTRO CIRÚRGICO,09/11/2018,CONSOLE-PAINEL COMANDO,"111436,29",NÃO
UTI ADULTO,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
CLINICA MEDICA,11/11/2011,CAMA ELETRICA,8690,NÃO
CENTRO CIRÚRGICO,09/11/2018,CONSOLE-PAINEL COMANDO,"111436,29",NÃO
UTI ADULTO,11/11/2011,MOD CO2 EXALADO,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
CIRÚRGICA L,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE ONCOLOGIA,26/02/2021,MONITOR MULTIPARAMETRICO,23400,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
,09/11/2018,CONSOLE-PAINEL COMANDO,"111436,29",NÃO
UTI NEO,11/11/2011,BLENDER,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
CLINICA MEDICA,11/11/2011,ESFIGMOMANOMETRO ANEROIDE,0,NÃO
UTI ADULTO,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI NEO,11/11/2011,BLENDER,0,NÃO
CLINICA MEDICA,11/11/2011,ESFIGMOMANOMETRO ANEROIDE,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
CENTRO CIRÚRGICO,09/11/2018,CONSOLE-PAINEL COMANDO,"111436,29",NÃO
UTI NEO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
